allele	layer	assay_id	region_label	assay_type	cell_type	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note	focus_cell_type
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GPR61 (exons)	RNA	HepG2	0.000819911121183063	0.0008232077342462045	0.001809775686021482	0.81	0.3582		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GNAI3 (exons)	RNA	HepG2	0.7385264174477726	0.7397607394853348	0.0016676795685907873	0.7882	0.8417		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GNAT2 (exons)	RNA	HepG2	0.039803050132161066	0.03990802181360603	0.0025693394222564333	0.8857999999999999	0.6343		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	AMPD2 (exons)	RNA	HepG2	2.156420166801275	2.1518852497815892	-0.0021042215131798934	-0.8524	0.9453		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	CLCC1 (exons)	RNA	HepG2	0.049964140965581806	0.050030052210047755	0.0012924511011613488	0.7214	0.6462		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GPSM2 (exons)	RNA	HepG2	0.13687918907793614	0.13684260169761234	-0.0002653934637203588		0.6976		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	AKNAD1 (exons)	RNA	HepG2	6.240175055165596e-05	6.250776534010037e-05	9.978287333137166e-05		0.1549		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GSTM4 (exons)	RNA	HepG2	0.5086356382449012	0.5086455968172403	1.9540381980597315e-05		0.8046		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GSTM2 (exons)	RNA	HepG2	0.0871829812193565	0.08720510213666732	0.00025082099658792564		0.6748		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GSTM1 (exons)	RNA	HepG2	0.29919760952386204	0.297694236523851	-0.005020526386279976	-0.9664	0.7534		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GSTM3 (exons)	RNA	HepG2	0.0022596562339529205	0.0022517986561296174	-0.00241346420117103	-0.8802	0.4409		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	GSTM5 (exons)	RNA	HepG2	0.010803691461840348	0.010739803016743509	-0.005427282851024112	-0.9696	0.5621		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	EPS8L3 (exons)	RNA	HepG2	0.0024142536085614095	0.0023945898114730644	-0.005775974139422135	-0.974	0.4463		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	STXBP3 (exons)	RNA	HepG2	0.6254381304377716	0.6271232753815137	0.0026864304120735576	0.8948	0.8245		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	SORT1 (exons)	RNA	HepG2	0.000540025749431029	0.0006157054577445436	0.047972540543691766	0.9985999999999999	0.3553		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	PSRC1 (exons)	RNA	HepG2	0.0019286700657435826	0.003215645164189625	0.3642542260979492	1.0	0.461		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	CELSR2 (exons)	RNA	HepG2	0.10312271222381272	0.14849810717090883	0.361713602880777	1.0	0.6928		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	MYBPHL (exons)	RNA	HepG2	0.0008867611495158946	0.0012090644349930257	0.15770741177502037	0.9998	0.3974		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	SARS1 (exons)	RNA	HepG2	8.258160846989329	8.342693297843622	0.010182969815512758	0.9907999999999999	0.991		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	ELAPOR1 (exons)	RNA	HepG2	0.01144546487651924	0.011624752032440443	0.014303044370569567	0.994	0.5856		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	PSMA5 (exons)	RNA	HepG2	0.0011424121849969069	0.0011708126997079212	0.013169229949362324	0.9930000000000001	0.4197		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	CFAP276 (exons)	RNA	HepG2	0.0015927981457393829	0.0016117756099395403	0.007292642662750785	0.9852000000000001	0.4476		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	TMEM167B (exons)	RNA	HepG2	1.8506826610585427	1.8566273600548284	0.0032052883431355527	0.9283999999999999	0.9249		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	SYPL2 (exons)	RNA	HepG2	0.05732567735320657	0.05751882877612972	0.0033061306048247016	0.9336	0.6647		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	TAF13 (exons)	RNA	HepG2	0.0003724278326525382	0.00037425780758645145	0.001332497012305557	0.7372000000000001	0.322		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	ATXN7L2 (exons)	RNA	HepG2	0.2016380313093357	0.20237666079233635	0.0036384412299179437	0.9446000000000001	0.7272		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	CYB561D1 (exons)	RNA	HepG2	0.1992147939710525	0.19926991123008225	0.00027525275578287473		0.7264		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	AMIGO1 (exons)	RNA	HepG2	0.0006195224892608292	0.0006164384273314527	-0.001906118734213947	-0.8304	0.3668		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	WDR47 (exons)	RNA	HepG2	8.424468517471921e-05	8.481716473064386e-05	0.0005278591472550496		0.207		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GPR61 (exons)	RNA	HepG2	0.0006012979453354983	0.0006027230767608537	0.0008895893688028376		0.3645		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GNAI3 (exons)	RNA	HepG2	1.421846140875761	1.4237098242079413	0.0013089706549308507	0.7330000000000001	0.9019		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GNAT2 (exons)	RNA	HepG2	0.03479626340356928	0.03484569199441362	0.001379878547778059	0.7484	0.642		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	AMPD2 (exons)	RNA	HepG2	1.2343376386769818	1.2309694788864516	-0.002730233183206867	-0.8994	0.8874		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	CLCC1 (exons)	RNA	HepG2	0.07823206835973397	0.07827034565124688	0.00048298686800257734		0.6788		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GPSM2 (exons)	RNA	HepG2	0.33403663176312576	0.3335885067251635	-0.001338435728001204	-0.7378	0.7612		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	AKNAD1 (exons)	RNA	HepG2	4.7715931323361516e-05	4.7740898108834704e-05	2.3829443893772757e-05		0.1729		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GSTM4 (exons)	RNA	HepG2	0.22962604471647943	0.2298175656975316	0.0008300948923216927		0.7349		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GSTM2 (exons)	RNA	HepG2	0.011590864490038304	0.011596081344755186	0.0004142506857083727		0.5867		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GSTM1 (exons)	RNA	HepG2	0.11019445189137482	0.1096708288307163	-0.004720198051350786	-0.9626	0.6966		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GSTM3 (exons)	RNA	HepG2	0.0008326588745635313	0.0008307656355919608	-0.0010335898200545277	-0.6698	0.3926		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	GSTM5 (exons)	RNA	HepG2	0.0025072954478891508	0.002493600732300033	-0.003912280000780889	-0.9484	0.4816		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	EPS8L3 (exons)	RNA	HepG2	0.001509460164811325	0.0014995050781673304	-0.003974912688970842	-0.95	0.4429		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 total RNA-seq/+	STXBP3 (exons)	RNA	HepG2	1.5928856588400857	1.5953152618537625	0.0015231664360995574	0.7758	0.9121		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	SORT1 (exons)	RNA	HepG2	1.3579997919776199	1.4423981569070112	0.06025118264565125	0.9985999999999999	0.9085		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	PSRC1 (exons)	RNA	HepG2	0.852742702571008	1.2352378087014144	0.37019815802530315	0.9998	0.8657		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	CELSR2 (exons)	RNA	HepG2	6.456942780184383e-05	0.00013590087798132227	0.06485563692479018	0.9987999999999999	0.1566		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	MYBPHL (exons)	RNA	HepG2	0.14607045316016504	0.18119547587092086	0.21416840878940502	0.9998	0.7168		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	SARS1 (exons)	RNA	HepG2	0.003959476463193816	0.004120136179575106	0.03188085288055508	0.998	0.4958		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	ELAPOR1 (exons)	RNA	HepG2	1.7903927690818032e-05	1.866219754850388e-05	0.0007446553130072627		0.0999		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	PSMA5 (exons)	RNA	HepG2	1.962321589950469	1.9794396220965687	0.008681123795041492	0.9874	0.9389		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	CFAP276 (exons)	RNA	HepG2	0.0022515530444391805	0.0022784747029878454	0.008245542628950307	0.9862	0.4514		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	TMEM167B (exons)	RNA	HepG2	0.0010231514891255733	0.001025806942465114	0.0013116725030044647	0.7170000000000001	0.3854		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	SYPL2 (exons)	RNA	HepG2	0.00013565884946906183	0.00013571471370875529	4.918982998684416e-05		0.2026		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	TAF13 (exons)	RNA	HepG2	0.5642461275527252	0.5669819360714367	0.004828355247319411	0.9616	0.8208		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	ATXN7L2 (exons)	RNA	HepG2	0.00012362977769892654	0.00012390333314499593	0.00024342729021458346		0.1957		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	CYB561D1 (exons)	RNA	HepG2	0.0004998400007934033	0.0004991533888361384	-0.0004578949534438637		0.3158		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	AMIGO1 (exons)	RNA	HepG2	0.09886730466517152	0.09901526800550174	0.0014805029310944633	0.7516	0.6934		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	WDR47 (exons)	RNA	HepG2	0.26805939137570656	0.2686537222877966	0.002206484817780077	0.8524	0.7558		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/-	GPR61 (exons)	RNA	HepG2	0.007602210741843797	0.007608304544298792	0.000708148780944344		0.5469		HepG2
